time,computers on
2016-09-06 07:24:39,18
2016-09-06 07:42:16,18
2016-09-06 07:59:54,18
2016-09-06 08:17:32,18
2016-09-06 08:35:09,19
2016-09-06 08:52:47,20
2016-09-06 09:10:25,21
2016-09-06 09:28:02,22
2016-09-06 09:45:40,28
2016-09-06 10:03:17,39
2016-09-06 10:20:55,42
2016-09-06 10:38:33,42
2016-09-06 10:56:11,42
2016-09-06 11:13:48,42
2016-09-06 11:31:26,42
2016-09-06 11:49:03,42
2016-09-06 12:06:41,42
2016-09-06 12:24:19,42
2016-09-06 12:41:56,42
2016-09-06 12:59:34,42
2016-09-06 13:17:11,42
2016-09-06 13:34:49,42
2016-09-06 13:52:27,43
2016-09-06 14:10:05,42
2016-09-06 14:27:42,42
2016-09-06 14:45:20,42
2016-09-06 15:02:58,42
2016-09-06 15:20:35,42
2016-09-06 15:38:13,42
2016-09-06 15:55:51,41
2016-09-06 16:13:28,42
2016-09-06 16:31:06,40
2016-09-06 16:48:43,42
2016-09-06 17:06:21,40
2016-09-06 17:23:59,40
2016-09-06 17:41:36,26
2016-09-06 17:59:14,24
2016-09-06 18:16:51,23
2016-09-06 18:34:29,21
2016-09-06 18:52:07,19
2016-09-06 19:09:44,19
2016-09-06 19:27:22,19
2016-09-06 19:45:00,19
2016-09-06 20:02:37,19
2016-09-06 20:20:15,19
2016-09-06 20:37:52,19
2016-09-06 20:55:30,19
2016-09-06 21:13:08,19
2016-09-06 21:30:45,19
2016-09-06 21:48:23,19
2016-09-06 22:06:00,19
2016-09-06 22:23:38,19
2016-09-06 22:41:16,19
2016-09-06 22:58:54,19
2016-09-06 23:16:33,19
2016-09-06 23:34:11,19
2016-09-06 23:51:48,19
2016-09-07 00:09:26,19
2016-09-07 00:27:04,19
2016-09-07 00:44:41,19
2016-09-07 01:02:19,19
2016-09-07 01:19:57,19
2016-09-07 01:37:34,19
2016-09-07 01:55:12,19
2016-09-07 02:12:50,19
2016-09-07 02:30:27,19
2016-09-07 02:48:05,19
2016-09-07 03:05:52,19
2016-09-07 03:23:29,18
2016-09-07 03:41:07,18
2016-09-07 03:58:45,18
2016-09-07 04:16:22,18
2016-09-07 04:34:00,18
2016-09-07 04:51:37,18
2016-09-07 05:09:15,18
2016-09-07 05:26:53,18
2016-09-07 05:44:30,18
2016-09-07 06:02:08,18
2016-09-07 06:19:45,18
2016-09-07 06:37:24,18
2016-09-07 06:55:01,18
2016-09-07 07:12:39,18
2016-09-07 07:30:17,18
2016-09-07 07:47:54,18
2016-09-07 08:05:32,18
2016-09-07 08:23:10,19
2016-09-07 08:40:47,19
2016-09-07 08:58:25,20
2016-09-07 09:16:03,21
2016-09-07 09:33:40,25
2016-09-07 09:51:18,32
2016-09-07 10:08:55,38
2016-09-07 10:26:33,39
2016-09-07 10:44:11,38
2016-09-07 11:01:48,39
2016-09-07 11:19:26,39
2016-09-07 11:37:04,38
2016-09-07 11:54:41,39
2016-09-07 12:12:19,39
2016-09-07 12:29:57,39
2016-09-07 12:47:34,39
2016-09-07 13:05:12,38
2016-09-07 13:22:49,38
2016-09-07 13:40:27,39
2016-09-07 13:58:05,40
2016-09-07 14:15:42,40
2016-09-07 14:33:20,39
2016-09-07 14:50:58,40
2016-09-07 15:08:35,39
2016-09-07 15:26:13,40
2016-09-07 15:43:50,40
2016-09-07 16:01:28,40
2016-09-07 16:19:06,40
2016-09-07 16:36:43,39
2016-09-07 16:54:21,39
2016-09-07 17:11:59,39
2016-09-07 17:29:36,38
2016-09-07 17:48:09,23
2016-09-07 18:06:06,21
2016-09-07 18:26:21,20
2016-09-07 18:43:59,19
2016-09-07 19:01:36,20
2016-09-07 19:19:14,20
2016-09-07 19:36:51,20
2016-09-07 19:54:29,20
2016-09-07 20:12:07,20
2016-09-07 20:29:44,20
2016-09-07 20:47:22,20
2016-09-07 21:04:59,20
2016-09-07 21:22:37,20
2016-09-07 21:40:15,19
2016-09-07 21:57:52,19
2016-09-07 22:15:30,19
2016-09-07 22:33:08,19
2016-09-07 22:50:45,19
2016-09-07 23:08:23,19
2016-09-07 23:26:00,19
2016-09-07 23:43:38,19
2016-09-08 00:01:16,19
2016-09-08 00:18:53,19
2016-09-08 00:36:31,19
2016-09-08 00:54:09,19
2016-09-08 01:11:46,19
2016-09-08 01:29:24,19
2016-09-08 01:47:01,19
2016-09-08 02:04:39,19
2016-09-08 02:22:17,19
2016-09-08 02:39:55,19
2016-09-08 02:57:32,19
2016-09-08 03:15:10,19
2016-09-08 03:32:48,18
2016-09-08 03:50:25,19
2016-09-08 04:08:03,18
2016-09-08 04:25:40,18
2016-09-08 04:43:18,18
2016-09-08 05:00:56,18
2016-09-08 05:18:33,18
2016-09-08 05:36:11,18
2016-09-08 05:53:49,18
2016-09-08 06:11:26,18
2016-09-08 06:29:04,18
2016-09-08 06:46:41,18
2016-09-08 07:04:19,18
2016-09-08 07:21:57,18
2016-09-08 07:39:34,18
2016-09-08 07:57:12,18
2016-09-08 08:14:50,18
2016-09-08 08:32:27,18
2016-09-08 08:50:05,21
2016-09-08 09:07:42,22
2016-09-08 09:25:20,23
2016-09-08 09:42:58,28
2016-09-08 10:00:35,37
2016-09-08 10:18:13,42
2016-09-08 10:35:51,42
2016-09-08 10:53:28,41
2016-09-08 11:11:06,41
2016-09-08 11:28:44,41
2016-09-08 11:46:22,41
2016-09-08 12:03:59,41
2016-09-08 12:21:37,40
2016-09-08 12:39:15,41
2016-09-08 12:56:52,41
2016-09-08 13:14:30,42
2016-09-08 13:32:08,41
2016-09-08 13:49:45,41
2016-09-08 14:07:23,41
2016-09-08 14:25:01,40
2016-09-08 14:42:38,39
2016-09-08 15:00:16,39
2016-09-08 15:17:54,39
2016-09-08 15:35:31,37
2016-09-08 15:53:09,37
2016-09-08 16:10:46,38
2016-09-08 16:28:24,38
2016-09-08 16:46:02,38
2016-09-08 17:03:39,37
2016-09-08 17:21:17,38
2016-09-08 17:38:55,28
2016-09-08 17:56:32,22
2016-09-08 18:14:10,19
2016-09-08 18:31:47,19
2016-09-08 18:49:25,19
2016-09-08 19:07:03,19
2016-09-08 19:24:40,19
